Lot Frontage	Lot Area	Neighborhood	Overall Qual	Overall Cond	Year Built	Total Bsmt SF	1st Flr SF	Gr Liv Area	Bedroom AbvGr	TotRms AbvGrd	Garage Area	SalePrice
60	9000	NAmes	4	7	1971	864	864	864	3	5	576	130000
21	1680	BrDale	6	5	1973	483	483	987	2	5	264	111000
24	2368	BrDale	5	6	1970	765	765	1365	3	7	440	125000
21	1680	BrDale	5	5	1971	630	630	1302	3	6	280	112000
21	1680	BrDale	6	6	1972	483	483	987	2	5	288	97000
21	1680	BrDale	6	8	1972	483	483	987	2	5	264	118000
21	1680	BrDale	5	7	1972	630	630	1302	3	6	264	119500
	4928	NPkVill	6	6	1976	958	958	958	2	5	440	143750
24	2308	NPkVill	6	5	1976	804	804	1548	3	7	440	146000
24	2280	NPkVill	6	6	1976	855	855	1456	3	7	440	148500
24	2280	NPkVill	7	5	1975	1057	1055	1055	2	4	440	123000
24	2308	NPkVill	6	5	1974	855	855	1322	3	6	440	147000
24	2349	NPkVill	6	5	1977	855	855	1456	3	6	440	137900
24	2364	NPkVill	6	5	1978	804	804	1548	3	7	440	147000
24	2289	NPkVill	6	6	1978	855	855	1441	3	7	440	148500
24	2364	NPkVill	6	5	1978	855	855	1456	3	6	440	138000
24	2104	NPkVill	7	6	1976	836	836	836	2	5	345	128500
65	7150	NAmes	5	5	1967	892	892	892	3	5	288	100000
	10710	NAmes	5	7	1966	864	1120	1120	3	5	656	148800
96	12456	NridgHt	10	5	2006	1700	1718	1718	3	7	786	337500
110	14257	NridgHt	9	5	2007	1776	1794	2772	4	10	754	462000
104	13518	NridgHt	9	5	2008	1926	1966	3140	4	11	820	485000
105	15431	NridgHt	10	5	2008	3094	2402	2402	2	10	672	555000
108	13173	NridgHt	9	5	2006	1652	1652	1652	2	6	840	325000
110	14230	NridgHt	8	5	2007	1566	1600	1600	3	7	890	256300
98	12704	NridgHt	8	5	2008	2042	2042	2042	3	8	1390	253293
95	12350	NridgHt	9	5	2009	1365	1365	2690	3	8	864	398800
96	11308	NridgHt	9	5	2008	1104	1130	2184	3	10	836	335000
95	12350	NridgHt	9	5	2008	2020	2020	2020	3	7	896	404000
94	12220	NridgHt	10	5	2009	2006	2020	2020	3	9	900	402861
97	13478	NridgHt	10	5	2008	1722	1728	2296	3	10	842	451950
105	13693	NridgHt	10	5	2007	2630	2674	2674	2	8	762	610000
107	13891	NridgHt	9	5	2008	1734	1734	2822	4	12	1020	582933
95	11578	NridgHt	9	5	2008	1736	1736	1736	3	7	834	360000
129	16870	NridgHt	8	5	2004	1782	1782	1782	3	7	932	296000
59	23303	NridgHt	8	5	2007	1508	1508	2520	5	10	640	409900
87	11146	NridgHt	8	5	2006	1709	1717	1717	3	7	908	255500
87	10367	NridgHt	9	5	2008	1739	1743	1743	3	8	927	335000
76	9591	NridgHt	8	5	2004	1713	1713	1713	3	7	856	274900
77	10872	NridgHt	9	5	2006	1504	1531	1531	2	6	700	300000
102	13514	NridgHt	9	5	2008	1774	1808	1808	3	7	850	324000
74	8834	NridgHt	9	5	2004	1462	1462	2224	4	10	738	350000
107	11362	NridgHt	8	5	2004	1836	1836	1836	3	7	862	280000
85	10655	NridgHt	8	5	2003	3206	1629	1629	3	7	880	284000
90	12878	NridgHt	7	5	2003	1760	1760	1760	3	8	583	269500
79	9541	NridgHt	7	5	2009	1502	1502	1502	3	7	644	233170
103	13472	NridgHt	10	5	2003	2392	2392	2392	3	8	968	386250
110	15274	NridgHt	9	5	2003	2452	2452	2452	3	10	886	445000
96	13262	NridgHt	8	5	2003	1082	1105	2400	4	10	730	290000
70	9658	NridgHt	8	5	2006	1598	1606	1606	3	6	871	255900
47	6904	NridgHt	6	5	2005	1358	1358	1358	2	6	484	213000
34	5381	NridgHt	6	5	2005	1306	1306	1306	1	5	624	196000
34	5122	NridgHt	6	5	2005	1306	1306	1306	1	5	624	184500
80	10307	NridgHt	7	5	2007	1350	1358	1358	2	6	484	212500
34	5001	NridgHt	7	5	2007	1314	1314	1314	2	6	626	230000
100	14836	NridgHt	10	5	2004	2492	2492	2492	2	8	949	552000
117	15262	NridgHt	8	5	2003	2200	2200	2200	3	8	685	382500
44	7390	NridgHt	9	5	2008	1884	1884	1884	2	6	649	320000
48	6472	NridgHt	9	5	2008	1451	1456	1456	2	6	539	248500
129	16770	NridgHt	8	5	2002	1712	1712	1712	3	8	701	286500
48	6240	NridgHt	8	5	2006	1324	1324	1324	2	6	550	254000
48	3480	NridgHt	7	5	2003	1405	1405	1405	2	6	478	173000
36	2268	NridgHt	7	5	2003	764	764	1626	2	6	474	173000
63	10928	Gilbert	7	5	2005	728	728	1456	3	8	390	184000
57	8918	Gilbert	6	5	2005	745	745	1490	3	7	392	167800
149	12589	Gilbert	6	5	2005	742	742	1484	3	8	390	174000
122	11911	Gilbert	6	5	2005	684	684	1560	3	6	400	174000
53	3684	Blmngtn	7	5	2007	1373	1555	1555	2	7	660	174000
51	3635	Blmngtn	7	5	2007	1386	1569	1569	1	7	660	175900
43	3182	Blmngtn	7	5	2005	1373	1555	1555	2	7	430	192500
43	3182	Blmngtn	7	5	2005	1346	1504	1504	1	7	457	181000
43	3182	Blmngtn	7	5	2005	1220	1220	1220	2	5	397	180000
43	3182	Blmngtn	7	5	2005	1145	1145	1145	2	5	397	160200
71	7795	Gilbert	7	5	2004	716	716	1432	3	6	432	188500
	8068	Gilbert	6	5	2002	1010	1010	2267	4	8	390	200000
59	9434	Gilbert	7	5	2004	384	744	1374	3	6	400	170000
62	7984	Gilbert	7	5	2004	868	868	1630	3	7	436	189500
	7750	Gilbert	8	5	2002	408	779	1419	3	7	527	184100
61	10125	Gilbert	7	5	2004	846	846	1594	3	7	434	195500
	8965	Gilbert	7	5	2003	782	806	1489	3	8	400	192000
	8174	Gilbert	7	5	2003	698	698	1342	3	7	393	178000
34	5063	NridgHt	7	5	2007	1314	1314	1314	2	6	626	207500
	8795	Gilbert	7	5	2000	952	980	2256	4	8	554	236000
	12891	Gilbert	8	5	2002	870	878	2004	4	8	644	257500
	12224	Gilbert	6	5	2000	992	1022	2054	3	7	390	244000
61	9734	Gilbert	7	5	2004	384	744	1374	3	7	400	167000
60	8123	Gilbert	6	5	2000	982	1007	1800	3	7	463	179000
42	8433	Gilbert	6	5	2000	794	819	1514	3	7	394	190000
62	7750	Gilbert	7	5	1999	384	774	1430	3	7	400	156000
	15896	Gilbert	7	5	1999	1177	1223	2312	4	8	658	245000
	24682	Gilbert	6	5	1999	841	892	1675	3	7	502	181000
	8755	Gilbert	7	5	1999	992	1022	2060	3	8	390	214000
64	7848	Gilbert	7	6	1999	384	774	1430	3	7	410	168000
82	9430	NoRidge	8	5	1999	1252	1268	2365	3	8	856	337000
174	15138	NoRidge	8	5	1995	1462	1490	2794	4	9	810	403000
106	12720	NoRidge	8	5	2000	1455	1466	2687	4	10	810	327000
	16545	NoRidge	8	5	1998	1284	1310	2450	3	7	1069	340000
98	12203	NoRidge	8	5	1998	1225	1276	2612	4	8	676	336000
79	10208	NoRidge	7	5	1996	1264	1277	2344	3	7	889	265000
	10750	NoRidge	8	5	1994	2024	2063	2063	3	7	815	315000
90	9900	NoRidge	7	5	1993	1347	1372	2646	4	9	656	260000
79	9085	NoRidge	7	5	1995	1070	1094	2061	3	7	647	260000
	11692	NoRidge	8	5	1993	1173	1215	2232	3	8	623	263550
52	46589	NoRidge	8	7	1994	1629	1686	2448	4	8	711	402000
	29959	NoRidge	7	6	1994	973	979	1850	3	7	467	248000
74	9612	Somerst	8	5	2008	1468	1468	1468	3	6	898	244600
86	11194	Somerst	8	5	2008	1696	1696	1696	3	7	972	275000
78	10206	Somerst	8	5	2008	1614	1658	1658	3	7	726	257500
78	9262	Somerst	8	5	2008	1573	1578	1578	3	7	840	287090
85	10130	Somerst	8	5	2007	1702	1702	1702	3	7	844	275500
76	9139	Somerst	8	5	2006	1422	1432	1432	3	7	492	245000
75	9675	Somerst	7	5	2005	1113	1113	1971	3	8	689	253000
85	11128	Somerst	9	5	2005	2458	2490	2490	2	9	795	468000
72	8640	Somerst	7	5	2009	900	932	1852	3	7	644	252678
75	9000	Somerst	8	5	2008	768	786	1590	3	6	676	210000
75	7862	Somerst	6	5	2009	1218	1218	1218	2	4	676	208300
90	7993	Somerst	7	5	2008	1436	1436	1436	3	6	529	225000
72	8640	Somerst	8	5	2009	1300	1314	1314	3	6	552	229456
72	8640	Somerst	7	5	2008	1402	1402	1402	3	7	625	229800
112	12606	Somerst	9	5	2007	1530	1530	1530	3	7	984	250000
85	9187	Somerst	9	5	2009	1766	1766	1766	2	7	478	370878
75	7500	Somerst	8	5	2006	1372	1448	1448	2	6	692	238500
85	11003	Somerst	10	5	2008	1017	1026	2007	3	10	812	310000
84	10603	Somerst	8	5	2006	900	909	1795	3	8	782	270000
85	10574	Somerst	8	5	2005	1082	1082	1953	3	9	1043	252000
65	8125	Somerst	7	5	2006	1092	1112	1550	2	7	438	241000
65	8125	Somerst	8	5	2008	1836	1836	1836	3	8	517	264500
85	10625	Somerst	7	5	2006	1652	1662	1662	3	8	711	291000
75	9375	Somerst	7	5	2003	912	912	2094	4	8	615	263000
62	7500	Somerst	7	5	2004	1221	1221	1221	2	6	400	185000
68	8736	Somerst	7	5	2003	1553	1553	1553	3	6	588	234500
65	8127	Somerst	7	5	2003	812	812	1653	3	6	628	209000
80	9605	SawyerW	7	6	2007	1218	1218	1218	3	6	576	159000
63	7500	SawyerW	7	5	2006	1141	1141	1141	3	6	484	152000
63	7500	SawyerW	6	5	2004	1158	1158	1158	3	5	0	143500
96	10628	SawyerW	7	5	2004	835	871	1812	3	8	478	193000
76	10141	SawyerW	8	5	2004	1512	1512	1512	3	6	845	203000
67	10083	SawyerW	7	5	2003	1176	1200	1200	2	5	555	184900
63	13072	SawyerW	7	5	2004	1114	1114	1114	3	6	576	159000
63	13072	SawyerW	5	5	2004	1114	1114	1114	3	6	0	142000
60	12450	SawyerW	5	5	2003	1114	1114	1114	3	6	576	153000
61	7328	SawyerW	7	5	2008	1450	1450	1450	2	6	788	224243
43	11492	SawyerW	7	5	1996	913	913	2122	4	8	559	220000
88	10994	SawyerW	8	5	2005	1844	1844	1844	2	7	620	257000
65	8529	SawyerW	7	5	2001	1454	1434	1434	3	6	527	189000
70	7703	SawyerW	6	6	1992	816	833	1730	3	6	528	171500
75	10762	SawyerW	6	6	1980	626	626	1217	3	6	288	120000
50	7175	SawyerW	6	5	1990	1332	1332	1332	2	5	542	145000
70	9109	SawyerW	7	5	1994	754	754	1540	3	6	495	184000
	10274	SawyerW	6	7	1986	676	698	1400	3	6	465	162000
75	8250	SawyerW	6	7	1981	0	964	1882	4	8	612	160000
60	8400	SawyerW	4	4	1950	721	841	841	2	4	294	82000
60	9000	SawyerW	6	3	1928	784	784	784	2	5	360	76000
63	9750	Sawyer	5	5	1962	980	980	980	3	5	400	110000
71	7064	Sawyer	5	6	1977	980	980	980	3	6	484	135000
	8499	Sawyer	5	6	1961	864	864	864	3	5	732	141000
	9079	Sawyer	5	5	1961	864	864	864	2	5	440	122000
	9316	Sawyer	5	5	1965	1024	1020	1020	3	5	288	124100
	7791	Sawyer	5	8	1963	912	912	912	3	6	300	129000
80	10000	Sawyer	5	6	1961	864	1144	1144	3	6	264	131400
60	8281	Sawyer	5	5	1965	864	864	864	3	5	360	62383
65	7150	Sawyer	5	6	1962	912	912	912	3	6	252	123000
	15676	Veenker	8	8	1980	2014	2014	2014	2	6	864	275000
	11949	NoRidge	7	8	1991	975	975	1755	3	7	524	235000
32	2880	Somerst	7	5	2004	1376	1376	3005	3	9	704	280750
40	3951	Somerst	6	5	2009	612	612	1224	2	4	528	164500
30	3000	Somerst	6	5	2009	612	612	1224	2	4	528	173733
	3830	Somerst	6	5	2008	1726	1726	1726	2	6	561	222000
	4217	Somerst	6	5	2008	1145	1256	1256	1	5	641	195000
34	3230	Somerst	6	5	1999	729	742	1471	3	6	440	172500
34	2998	Somerst	6	5	2000	756	756	1512	2	4	440	180000
35	3768	Somerst	7	5	1999	691	713	1452	3	6	506	156000
24	2645	Somerst	8	5	1999	970	983	1739	3	7	480	172500
	14694	Veenker	8	9	1977	1694	1694	1694	2	5	642	318750
61	3782	Greens	8	5	1981	1226	1226	1226	1	4	484	211500
110	15417	Veenker	7	5	1981	1740	1740	1740	2	7	540	241600
80	9600	Veenker	8	5	1976	392	1487	2499	4	5	527	180500
	9991	Sawyer	4	4	1976	1281	1620	1620	3	8	490	150000
78	11700	NWAmes	6	6	1968	727	829	1556	4	8	441	154000
	11717	NWAmes	6	6	1970	1442	1442	1442	2	6	615	185000
	9156	NWAmes	6	7	1968	1489	1489	1489	3	7	462	185750
	10382	NWAmes	7	6	1973	1107	1107	2090	3	7	484	200000
	12732	NWAmes	7	6	1974	752	1285	2067	3	7	784	206000
	12936	NWAmes	6	6	1972	723	735	1395	3	6	497	162000
80	10400	NWAmes	6	7	1967	932	1271	2640	5	8	515	256900
	17871	NWAmes	6	5	1967	1680	1724	1724	3	7	480	197900
80	9600	NWAmes	5	5	1969	1288	1336	1336	3	6	502	163000
75	9000	NWAmes	6	5	1969	1216	1216	1216	3	5	336	113000
	13774	NWAmes	7	7	1977	908	1316	2288	4	8	520	230000
80	9650	NWAmes	6	5	1977	1350	1334	1334	2	6	630	167900
78	10140	NWAmes	7	5	1998	1650	1680	1680	3	7	583	213250
70	8400	NWAmes	8	6	2001	810	810	1665	3	6	528	227000
62	7130	NAmes	5	6	1967	864	864	864	2	5	312	130000
80	9600	NAmes	5	5	1967	1568	1568	1568	3	7	440	143000
70	9100	NAmes	5	6	1965	925	925	925	2	5	429	117500
80	9600	NWAmes	7	5	1974	1165	1165	2061	4	8	498	168500
	16500	NWAmes	6	5	1971	1232	1320	1320	3	5	495	172500
	9790	NWAmes	6	5	1967	1372	1342	1342	3	7	457	161500
60	7436	NAmes	4	7	1960	894	894	894	2	5	396	141500
65	8125	NAmes	5	7	1959	864	864	864	3	5	308	118000
70	9100	NAmes	6	6	1959	864	864	864	2	5	300	127500
	9450	NAmes	4	5	1957	1040	1362	1362	3	6	768	140000
	13495	NAmes	5	6	1956	1048	1728	1728	3	7	576	177625
85	11475	NAmes	5	5	1958	1584	1776	1776	4	9	888	110000
100	10004	NAmes	6	6	1964	1516	1516	1516	3	6	472	167000
85	9350	NAmes	5	6	1961	1313	1313	1313	3	6	610	153000
115	10500	NAmes	5	5	1964	1292	1292	1292	3	6	520	145100
	11000	NAmes	5	6	1966	1154	1154	1154	3	6	480	154000
	8970	NAmes	5	6	1965	744	825	2140	4	7	549	177500
	12095	NAmes	6	6	1964	1127	1445	1445	3	7	645	158000
80	9600	NAmes	5	6	1959	1041	1041	1041	3	6	270	124500
85	11475	NAmes	6	6	1961	1208	1576	1576	4	7	368	174500
68	9768	NAmes	5	5	1955	960	960	960	2	5	330	122000
50	5330	BrkSide	4	7	1940	420	708	708	2	5	0	82500
	7015	BrkSide	5	4	1950	709	979	1203	3	5	352	110000
128	12160	NAmes	6	4	1953	1505	1505	1505	2	6	505	149500
90	9900	NAmes	6	5	1967	1680	1691	1691	2	5	550	175000
80	9600	NAmes	6	5	1953	1416	1644	1644	3	7	418	167000
80	9600	NAmes	5	6	1956	1050	1050	1050	2	5	338	128900
80	9600	NAmes	6	8	1950	856	1112	1668	3	6	271	140000
80	9600	NAmes	5	7	1950	1113	1113	1113	3	5	264	147000
65	8944	NAmes	5	5	1967	1584	1584	1584	4	8	792	124000
92	10573	NAmes	6	6	1961	1453	1453	1453	3	6	530	187500
	9500	NAmes	6	5	1963	1394	1394	1394	3	6	514	159000
80	14695	NAmes	6	8	1966	1562	1567	1567	2	5	542	256000
85	13600	NAmes	7	6	1965	768	1186	1986	3	7	486	205000
100	13000	NAmes	6	6	1968	896	1182	2142	4	8	509	193500
120	13560	NAmes	6	3	1968	1392	1392	1392	2	5	576	110000
	12513	NAmes	4	4	1920	715	1281	1738	4	7	368	104900
73	8760	NAmes	5	7	1956	1169	1144	1144	3	6	286	150000
70	8400	NAmes	6	3	1957	1478	1478	1478	3	6	442	156500
	12285	NAmes	7	6	1960	1329	1329	1329	3	5	441	176000
66	9240	NAmes	6	8	1959	988	988	988	3	6	297	149500
80	9600	NAmes	6	6	1958	1240	1632	1632	3	6	338	139000
66	12400	NAmes	6	7	1958	1215	1215	1215	3	6	297	155000
70	8750	NAmes	5	5	1956	1202	1202	1202	3	6	304	120000
70	8750	NAmes	5	5	1955	1382	1382	1382	3	6	350	153000
80	10400	NAmes	4	5	1956	1200	1200	1200	3	6	294	144000
120	19296	NAmes	6	5	1962	1362	1382	1382	3	6	884	176000
74	8532	NAmes	5	6	1954	1297	1297	1297	3	5	498	153000
76	9482	NAmes	5	4	1958	1866	1866	1866	4	8	495	135000
53	8128	NAmes	6	7	1954	1062	1062	1062	3	6	297	131000
79	10634	NAmes	5	6	1953	608	1319	1319	3	5	270	123000
67	13070	NAmes	5	5	1951	631	1112	1112	2	5	480	126000
60	10434	NAmes	4	5	1955	1005	1005	1005	2	5	672	115000
75	14559	NAmes	5	7	1951	1008	1363	1363	2	6	288	164900
80	8480	NAmes	5	6	1945	793	793	793	2	4	240	113000
60	7626	NAmes	5	8	1952	1031	1031	1031	2	5	230	145500
75	9533	NAmes	5	5	1953	0	1210	1210	2	7	616	102900
107	10615	OldTown	3	5	1900	978	1014	1699	3	7	420	95000
78	11419	NAmes	7	7	1948	699	801	1527	3	6	410	152500
60	9600	NAmes	5	6	1950	1200	1200	1200	3	6	246	129900
50	8000	NAmes	6	6	1948	972	972	972	2	5	240	132000
53	5470	OldTown	3	5	1958	792	792	792	2	4	366	99900
60	10410	OldTown	5	7	1916	660	808	1656	3	8	180	135000
60	10800	OldTown	5	7	1939	676	676	1352	4	7	720	149000
80	8146	OldTown	4	8	1900	405	717	1039	2	6	281	114000
52	9022	OldTown	5	8	1924	768	792	792	2	5	240	109500
60	10230	OldTown	5	7	1925	1054	1078	1078	3	6	264	125000
60	10410	OldTown	4	5	1915	1313	1313	2377	3	8	528	142900
60	7200	OldTown	7	9	1910	560	930	1690	4	5	624	156500
90	5400	OldTown	2	5	1940	416	599	599	2	4	0	59000
90	5400	OldTown	4	6	1920	840	840	1374	2	6	338	105000
60	10800	OldTown	5	7	1920	720	846	846	2	4	576	106000
60	10800	OldTown	3	5	1890	630	725	725	1	4	320	78500
81	9671	NAmes	6	5	1969	1248	1248	2544	6	12	907	190000
83	10143	NAmes	6	7	1963	1380	1380	1380	3	6	364	154000
77	11500	NAmes	6	4	1967	1040	1040	1040	3	6	480	163000
91	11643	NAmes	5	5	1969	1248	1338	2634	6	12	968	200000
62	8010	NAmes	6	9	1958	951	951	951	2	6	480	143500
90	10454	NAmes	6	6	1957	1105	1105	1105	3	5	308	135000
64	8712	NAmes	5	7	1957	992	1306	1306	2	5	756	153000
	17600	NAmes	6	5	1960	1478	1478	1478	3	6	498	157500
80	9000	NAmes	6	6	1958	160	1142	1142	2	5	384	113500
60	12144	NAmes	5	7	1949	832	1036	1268	3	6	288	133000
60	8544	NAmes	3	4	1950	0	1040	1040	2	6	400	92900
60	8064	NAmes	6	5	1950	795	765	1133	3	5	900	128500
60	7200	NAmes	4	5	1949	0	1040	1040	2	6	420	90000
60	7200	NAmes	5	4	1950	1208	1136	1904	3	7	240	138000
71	7350	NAmes	5	6	1958	1041	1041	1041	3	6	294	128000
70	7560	NAmes	5	6	1958	1029	1339	1339	3	6	294	139000
60	7200	NAmes	5	7	1952	732	732	732	2	4	240	118900
80	8000	NAmes	5	5	1959	528	1183	1183	3	6	288	138000
70	7931	NAmes	5	5	1959	1148	1148	1148	3	6	672	132500
60	10800	NAmes	4	7	1949	832	832	1461	4	6	384	133500
60	8064	NAmes	6	7	1948	864	1064	1495	3	6	576	135000
76	7570	NAmes	6	5	1964	780	993	1806	4	8	483	144750
75	8604	NAmes	5	7	1978	941	941	941	2	4	564	145000
80	7936	NAmes	6	6	1963	1045	1045	1045	3	6	264	127000
60	6600	NAmes	5	5	1962	894	894	894	2	5	308	109500
	3950	OldTown	6	8	1926	818	818	1224	3	5	210	115000
60	10440	OldTown	5	6	1910	440	682	1230	2	5	440	110000
68	4080	OldTown	6	8	1935	901	861	1378	3	6	162	128900
57	10307	OldTown	6	5	1910	972	972	1944	4	12	324	103500
52	5720	OldTown	5	6	1941	676	676	1131	3	5	200	66500
90	15660	OldTown	5	8	1910	240	810	1306	3	6	472	130000
90	9900	OldTown	5	8	1910	504	764	1464	3	7	0	129000
57	6406	OldTown	5	6	1939	690	868	1558	3	7	400	150000
60	6600	OldTown	5	4	1892	994	1378	2372	4	11	432	107500
63	7627	OldTown	4	6	1920	600	1101	1701	4	8	0	94550
60	7596	OldTown	5	5	1952	960	960	1960	4	10	400	124500
60	3378	OldTown	7	8	1946	651	707	1389	3	6	240	135000
56	10134	OldTown	5	5	1910	801	801	1447	3	6	0	103000
60	6000	OldTown	4	4	1953	936	936	936	2	4	576	93000
50	6000	OldTown	5	7	1950	768	768	1328	3	6	308	129500
50	6000	OldTown	5	4	1954	811	811	1387	3	7	256	93000
62	7404	OldTown	4	6	1920	861	861	861	2	5	288	80000
50	5925	OldTown	2	4	1940	0	612	612	1	4	308	45000
50	5925	OldTown	3	6	1910	600	600	968	2	6	0	37900
50	5784	OldTown	5	8	1938	190	886	886	2	4	273	91300
60	8520	OldTown	5	8	1923	624	792	792	2	5	287	99500
33	4456	OldTown	4	5	1920	736	736	1452	2	8	0	113000
60	9600	OldTown	4	4	1910	677	833	1510	3	7	720	87500
50	3500	OldTown	5	7	1947	720	720	1284	2	5	240	110000
90	8100	OldTown	5	5	1898	849	1075	2138	2	11	360	106000
65	11700	OldTown	7	7	1880	1240	1320	2640	4	8	864	265979
70	8400	OldTown	6	7	1900	917	1090	2007	3	8	357	160000
60	3600	OldTown	6	7	1917	624	664	1288	3	5	280	119000
121	17671	OldTown	8	9	1882	916	916	1742	4	8	424	168000
	3300	OldTown	4	3	1910	624	816	816	2	5	0	58500
50	9000	OldTown	7	9	1920	650	832	1482	3	7	324	143000
60	7200	OldTown	5	4	1910	1022	1022	1022	2	4	280	85000
98	8820	OldTown	5	6	1890	1088	1188	1869	2	7	456	124900
60	5400	OldTown	6	6	1920	972	1044	1480	3	6	207	119000
60	9720	OldTown	6	7	1910	741	780	1521	4	8	640	146500
60	7879	IDOTRR	4	5	1920	720	720	720	2	4	0	34900
72	9392	IDOTRR	3	3	1900	245	797	797	2	5	0	44000
144	21384	BrkSide	5	6	1923	1324	1072	1576	3	6	528	223500
	6615	BrkSide	6	6	1923	1022	1432	1432	3	6	216	149000
55	7264	BrkSide	7	7	1925	952	952	1548	3	5	672	205000
50	4960	BrkSide	5	7	1930	297	1001	1654	3	7	336	137000
	8854	BrkSide	6	6	1916	952	952	952	2	4	192	121000
50	6000	BrkSide	4	6	1936	672	757	1324	3	6	240	128000
50	6000	BrkSide	6	9	1937	698	786	1176	2	4	624	134900
50	6000	BrkSide	5	8	1925	884	884	1348	3	5	216	117000
50	6000	BrkSide	6	6	1939	780	825	1412	4	6	280	132500
60	6000	BrkSide	5	5	1924	468	822	1142	3	6	320	93000
50	6000	BrkSide	6	7	1926	884	904	904	2	4	180	119000
60	6911	BrkSide	5	5	1924	1145	1301	1301	2	5	440	100000
51	6120	BrkSide	5	6	1936	927	1067	1539	3	5	576	141500
51	6120	BrkSide	4	7	1935	884	989	1573	3	6	240	133000
51	6120	BrkSide	2	3	1936	264	800	800	1	4	0	60000
51	6120	BrkSide	5	7	1931	715	875	875	2	5	180	105000
51	6120	BrkSide	5	6	1925	960	995	995	2	5	264	115000
51	6120	BrkSide	5	6	1938	952	994	1582	3	6	250	150000
50	8635	BrkSide	5	5	1925	1072	1072	1072	2	5	1184	126500
	11888	BrkSide	6	6	1916	844	1445	2134	5	10	441	214500
60	11414	BrkSide	7	8	1910	728	1136	2019	3	8	532	167500
57	8094	OldTown	6	6	1915	1048	1048	1768	3	8	576	155000
50	2500	OldTown	7	8	1915	910	916	1826	4	7	164	155000
68	9928	OldTown	7	8	1915	672	1272	1944	3	8	216	179900
92	5520	OldTown	6	6	1912	755	929	2229	5	8	0	104000
50	3000	OldTown	5	1	1922	1040	1088	2128	4	11	0	62500
57	6876	IDOTRR	6	5	1927	720	1146	1930	4	8	316	149000
52	6240	IDOTRR	4	5	1925	780	848	1208	2	5	539	103000
	5775	OldTown	6	7	1915	483	741	1427	3	7	379	123000
41	5852	OldTown	7	5	1902	1020	978	1864	6	9	0	97500
60	5160	IDOTRR	6	6	1927	1204	1204	1666	3	4	384	135000
86	5160	IDOTRR	4	6	1923	858	892	892	1	5	0	70000
60	10320	IDOTRR	6	7	1915	698	754	1403	3	7	308	116000
50	4280	Sawyer	4	9	1946	560	704	704	2	4	220	88750
60	10800	Edwards	5	5	1987	1200	1200	1200	3	5	0	179000
60	10800	Edwards	5	5	1987	1200	1200	1200	3	5	0	179000
	10547	Edwards	5	5	1978	1152	1152	1152	2	6	252	159900
	10020	Edwards	1	1	1922	683	904	904	1	4	0	61000
54	6629	Edwards	6	6	1925	672	697	1369	3	6	300	103600
60	9780	Edwards	5	3	1934	585	687	1112	4	6	226	63000
70	12886	Sawyer	5	6	1963	520	1464	1464	3	6	480	175000
80	8816	Sawyer	5	6	1963	1121	1121	1121	3	5	480	139000
70	11184	Sawyer	6	5	1978	918	918	1683	3	7	440	172500
75	11625	Sawyer	5	6	1967	1052	1052	1052	3	6	668	113500
65	7800	Sawyer	5	7	1967	864	899	899	3	5	288	130000
	8014	Sawyer	6	5	1978	456	1034	1034	3	5	504	149900
	7252	Sawyer	5	5	1982	858	858	858	2	5	576	134900
74	8740	Sawyer	5	6	1982	840	860	860	2	4	528	137000
	11616	Sawyer	5	5	1962	1092	1092	1092	3	6	288	139000
88	15400	Sawyer	5	5	1961	552	904	1774	4	8	384	165000
88	15312	Sawyer	6	5	1960	1138	1138	1138	3	6	480	148000
	15584	ClearCr	5	5	1956	825	2071	2071	4	9	336	165000
	9000	Sawyer	2	2	1947	0	660	660	2	5	0	63900
	11250	ClearCr	4	5	1957	1104	1104	1788	5	8	304	161500
65	25095	ClearCr	5	8	1968	1437	1473	1473	1	5	452	143000
	17140	Edwards	4	6	1956	1134	1229	1229	3	6	284	135000
	12342	Edwards	4	5	1940	861	861	861	1	4	539	82500
	10708	ClearCr	5	5	1955	1617	1867	1867	2	7	303	190000
	13680	Edwards	3	5	1955	0	1733	1733	4	8	452	139600
	15635	Edwards	4	5	1954	0	1383	1383	2	6	498	122000
73	9855	Edwards	6	5	1956	1436	1689	1689	3	7	480	127500
68	9571	Edwards	5	5	1956	1073	1073	1073	2	5	340	121500
68	9571	Edwards	5	3	1958	1276	1276	1276	3	5	350	60000
50	9350	Edwards	6	7	1946	747	892	1639	3	6	240	154400
50	9340	Edwards	4	6	1941	672	672	672	2	4	234	113000
62	7440	Edwards	5	6	1954	1089	1089	1089	3	5	252	125000
	11500	Edwards	4	3	1957	0	845	845	3	5	290	84000
42	4235	Edwards	5	5	1984	1049	1049	1049	2	5	266	139500
60	11409	Edwards	5	4	1949	768	1148	1716	3	8	281	131000
60	9060	Edwards	6	5	1939	560	698	1258	2	6	280	105000
60	9084	Edwards	4	5	1940	755	755	1510	4	7	296	108000
74	10778	SawyerW	7	6	1990	1054	1061	1061	1	4	462	162000
66	19255	SawyerW	6	5	1983	520	1338	1338	2	5	576	156500
79	12327	SawyerW	8	8	1983	1496	1496	2132	1	5	612	316600
90	14684	SawyerW	7	7	1990	2158	2196	2196	3	7	701	271900
75	9317	SawyerW	7	5	1993	740	1006	1775	3	7	425	213000
85	10560	SawyerW	7	5	1993	1079	1079	1879	3	8	473	239900
80	9828	SawyerW	8	5	1995	1128	1142	2020	3	8	466	239500
