year,age,maritalstatus,education,region,jobclass,health,health_ins,wage
2009,38,4. Divorced,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,109.8339856
2005,50,2. Married,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,111.7208494
2006,63,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,134.7053751
2008,35,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,85.90104432
2008,29,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,118.8843593
2008,33,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,87.98103279
2007,29,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,92.89584479
2007,62,4. Divorced,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.8339856
2008,45,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,124.7204462
2003,56,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,127.901233
2003,58,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,97.49329405
2007,39,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,198.3502905
2005,49,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,92.89584479
2004,24,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,94.07271475
2003,61,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,148.4131591
2008,58,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,79.85490031
2009,47,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,118.8843593
2004,41,5. Separated,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,87.98103279
2008,71,2. Married,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,94.07271475
2006,47,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,150.0704769
2005,38,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,176.9896505
2005,31,1. Never Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,73.77574327
2007,56,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,125.1238157
2006,44,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,277.7994802
2003,33,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,107.9039239
2005,36,1. Never Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,60.73977852
2006,31,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,92.0363233
2004,55,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.8339856
2005,48,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,66.96164432
2005,50,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.4757133
2006,42,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,170.6951277
2008,25,1. Never Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,130.9821774
2008,55,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,127.1157438
2004,28,1. Never Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,117.1468169
2003,30,2. Married,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,123.0896998
2008,46,1. Never Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,120.5894365
2004,48,4. Divorced,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,130.9821774
2006,42,4. Divorced,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,81.28325328
2008,23,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,36.6737042
2003,60,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,104.9215065
2008,34,2. Married,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,74.41296351
2003,45,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,129.0678205
2007,28,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,84.10001012
2004,33,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,185.9186629
2008,58,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,105.9278108
2008,47,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,163.515864
2003,24,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,63.188861
2008,56,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,134.7053751
2004,56,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,120.9267015
2005,23,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,94.07271475
2003,56,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,132.4878211
2003,45,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,133.2323508
2009,58,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,145.1436012
2007,30,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,118.8843593
2009,46,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,150.3306535
2004,48,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,278.9644667
2006,50,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,98.26923081
2008,43,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,99.6894637
2006,37,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,94.07271475
2003,49,4. Divorced,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,176.9896505
2009,31,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,166.3249412
2009,54,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,94.07271475
2007,52,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,139.7030715
2003,70,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,78.3924668
2005,30,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,141.7758565
2006,44,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,116.2653241
2003,34,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,148.4131591
2007,38,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,87.98103279
2006,28,5. Separated,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,90.48191336
2005,38,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,141.7751723
2003,39,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,63.09271673
2008,52,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,65.11085372
2004,34,1. Never Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,151.5914842
2003,33,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,123.0896998
2007,45,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,118.8843593
2006,58,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,79.85490031
2003,38,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,104.0049599
2007,63,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,55.53610442
2007,38,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,99.6894637
2007,31,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,99.6894637
2007,53,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,193.4526069
2009,21,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,102.8702469
2006,38,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,164.6469889
2004,18,1. Never Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,69.6190369
2008,28,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894637
2003,33,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.4757133
2004,32,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,99.6894637
2009,29,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,95.23071257
2005,28,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,82.6796373
2005,42,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,116.9430813
2007,28,3. Widowed,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,54.59815003
2009,36,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,138.2991269
2007,47,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,130.9821774
2007,53,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,281.7459706
2003,48,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,163.515864
2006,36,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,179.214858
2007,55,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,126.3238807
2008,37,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,70.47601965
2009,68,2. Married,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,118.0197533
2003,65,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,71.31963879
2007,37,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,114.4757133
2007,33,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,138.2991269
2003,19,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,54.59815003
2004,50,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,94.07271475
2004,22,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,80.43020795
2004,40,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,89.24288466
2008,45,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,117.1468169
2009,36,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,127.1157438
2005,37,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,81.28325328
2003,24,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,52.40706405
2007,66,2. Married,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,99.6894637
2004,35,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,63.188861
2009,33,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,196.1252726
2005,44,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,101.8243521
2004,48,1. Never Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,107.9039239
2009,47,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,51.23965492
2004,41,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894637
2005,55,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,63.188861
2008,74,4. Divorced,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,148.4131591
2007,33,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,99.6894637
2003,62,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,130.9821774
2004,56,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,101.8243521
2006,29,1. Never Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,99.6894637
2009,56,1. Never Married,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,79.85490031
2009,47,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,160.6424754
2005,45,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,134.7053751
2007,44,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,160.6424754
2004,25,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,91.69922611
2005,45,4. Divorced,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,75.35567932
2005,40,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,136.1577108
2003,56,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,134.7053751
2005,56,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,81.98531783
2003,47,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,176.9896505
2007,39,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,118.8860804
2005,38,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,121.2627457
2009,48,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,94.07271475
2005,44,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,99.6894637
2003,42,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,123.9085676
2009,55,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,118.8843593
2006,61,1. Never Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,82.6796373
2006,39,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,81.28325328
2005,30,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,104.9215065
2009,49,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,99.6894637
2006,33,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,136.1577108
2006,31,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,81.28325328
2005,35,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,68.50868966
2003,55,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,81.28325328
2008,36,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,114.4757133
2003,37,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,118.0197533
2006,33,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894637
2006,48,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,118.8843593
2004,47,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,118.8843593
2003,60,2. Married,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,123.0896998
2004,28,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,109.8339856
2005,28,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,102.8702469
2005,48,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,163.515864
2009,29,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,117.1468169
2004,40,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,92.30006143
2009,32,1. Never Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,100.0134869
2004,33,4. Divorced,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,55.06972842
2003,40,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,101.8243521
2004,42,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,148.4131591
2003,36,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,115.3750386
2004,39,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,73.77574327
2009,44,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,267.9010869
2009,43,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,129.4536446
2008,44,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,96.37065283
2006,29,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,87.98103279
2007,49,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,104.9215065
2007,47,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,130.9821774
2004,46,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,190.5476786
2006,41,4. Divorced,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,118.0197533
2008,52,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,79.85490031
2003,43,4. Divorced,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,72.4793163
2004,38,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,148.4131591
2003,42,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,74.4446382
2005,56,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,118.8843593
2003,39,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,128.6804882
2005,29,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,87.98103279
2009,33,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,267.9010869
2004,33,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,104.9215065
2004,41,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,92.89584479
2004,44,1. Never Married,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,70.47601965
2005,45,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,200.5432623
2004,58,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,102.8702469
2005,29,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,102.8702469
2004,42,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,65.11085372
2008,68,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8339856
2005,47,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,127.1157438
2005,30,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,94.07271475
2005,39,2. Married,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,67.86252341
2008,42,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,125.5254984
2006,49,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,165.2087738
2009,36,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,81.28325328
2003,44,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,112.6488963
2009,54,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,76.89360252
2003,42,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,75.04315402
2003,39,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,128.6804882
2008,30,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,59.09706408
2004,33,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,63.7733912
2003,28,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,84.04595765
2003,38,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,93.93718158
2005,30,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,82.6796373
2008,25,1. Never Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,118.8843593
2007,52,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,81.28325328
2007,26,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,66.96164432
2009,54,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,166.3249412
2005,62,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,99.6894637
2009,57,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,141.7751723
2003,32,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,143.1349408
2003,60,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,35.03342132
2004,40,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.8339856
2005,49,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,111.0144055
2006,54,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,132.4878211
2009,48,1. Never Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,148.4131591
2009,35,1. Never Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,73.77574327
2009,46,4. Divorced,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,143.6997101
2007,42,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894637
2004,58,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,272.2947832
2003,30,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,200.5432623
2008,27,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,85.38658902
2008,55,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8339856
2004,50,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,61.05242105
2006,55,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,118.8843593
2006,40,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,145.8051634
2005,32,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,112.6488963
2006,27,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,106.9218141
2007,49,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,106.9218141
2007,50,2. Married,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,127.1157438
2006,50,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,87.98103279
2008,44,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,144.4780877
2007,57,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,160.409702
2008,72,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,87.98103279
2006,23,1. Never Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,65.11085372
2007,31,1. Never Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,176.9896505
2008,36,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,54.59815003
2009,63,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8339856
2006,48,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,81.69842172
2005,46,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,114.4757133
2003,55,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,142.6344728
2007,44,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,160.6424754
2006,44,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,94.07271475
2004,32,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,54.59815003
2003,60,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,73.77574327
2004,42,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,160.6424754
2009,48,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,148.4131591
2008,36,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,87.98230643
2009,31,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,101.8243521
2006,54,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,111.7208494
2007,29,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,106.9218141
2003,46,4. Divorced,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,126.3238807
2003,35,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,109.8339856
